ruleId,line,alert_count_java__command_line_injection,alert_count_java__error_message_exposure,alert_count_java__http_response_splitting,alert_count_java__insecure_cookie,alert_count_java__insecure_randomness,alert_count_java__ldap_injection,alert_count_java__path_injection,alert_count_java__sql_injection,alert_count_java__stack_trace_exposure,alert_count_java__tainted_format_string,alert_count_java__weak_cryptographic_algorithm,alert_count_java__xml__xpath_injection,alert_count_java__xss,file_length,density,snippet_length,has_dangerous_api,has_user_input,label
java/stack-trace-exposure,118,0,0,0,0,0,0,0,0,1,0,2,0,1,122,0.03278688524590164,391,0,0,1
java/stack-trace-exposure,103,0,0,0,0,0,0,0,0,1,0,2,0,0,107,0.028037383177570093,376,0,0,1
java/stack-trace-exposure,108,0,0,0,0,0,0,0,0,7,0,2,0,1,151,0.06622516556291391,627,0,0,1
java/stack-trace-exposure,114,0,0,0,0,0,0,0,0,7,0,2,0,1,151,0.06622516556291391,624,0,0,1
java/stack-trace-exposure,120,0,0,0,0,0,0,0,0,7,0,2,0,1,151,0.06622516556291391,625,0,0,1
java/stack-trace-exposure,126,0,0,0,0,0,0,0,0,7,0,2,0,1,151,0.06622516556291391,622,0,0,1
java/stack-trace-exposure,132,0,0,0,0,0,0,0,0,7,0,2,0,1,151,0.06622516556291391,617,0,0,1
java/stack-trace-exposure,138,0,0,0,0,0,0,0,0,7,0,2,0,1,151,0.06622516556291391,633,0,0,1
java/stack-trace-exposure,144,0,0,0,0,0,0,0,0,7,0,2,0,1,151,0.06622516556291391,553,0,0,1
java/stack-trace-exposure,118,0,0,0,0,0,0,0,0,1,0,2,0,1,122,0.03278688524590164,376,0,0,1
java/stack-trace-exposure,109,0,0,0,0,0,0,0,0,7,0,2,0,0,152,0.05921052631578947,627,0,0,1
java/stack-trace-exposure,115,0,0,0,0,0,0,0,0,7,0,2,0,0,152,0.05921052631578947,624,0,0,1
java/stack-trace-exposure,121,0,0,0,0,0,0,0,0,7,0,2,0,0,152,0.05921052631578947,625,0,0,1
java/stack-trace-exposure,127,0,0,0,0,0,0,0,0,7,0,2,0,0,152,0.05921052631578947,622,0,0,1
java/stack-trace-exposure,133,0,0,0,0,0,0,0,0,7,0,2,0,0,152,0.05921052631578947,617,0,0,1
