ruleId,line,alert_count_java__command_line_injection,alert_count_java__error_message_exposure,alert_count_java__http_response_splitting,alert_count_java__insecure_cookie,alert_count_java__insecure_randomness,alert_count_java__ldap_injection,alert_count_java__path_injection,alert_count_java__sql_injection,alert_count_java__stack_trace_exposure,alert_count_java__tainted_format_string,alert_count_java__weak_cryptographic_algorithm,alert_count_java__xml__xpath_injection,alert_count_java__xss,same_type_count,weighted_alert_count,file_length,density,weighted_density,snippet_length,has_dangerous_api,has_user_input,label
java/stack-trace-exposure,118,0,0,0,0,0,0,0,0,1,0,2,0,1,1,6.0,122,0.0327868852459016,0.04918032786885246,391,0,0,1
java/stack-trace-exposure,103,0,0,0,0,0,0,0,0,1,0,2,0,0,1,5.0,107,0.02803738317757,0.04672897196261682,376,0,0,1
java/stack-trace-exposure,108,0,0,0,0,0,0,0,0,7,0,2,0,1,7,24.0,151,0.0662251655629139,0.15894039735099338,627,0,0,1
java/stack-trace-exposure,114,0,0,0,0,0,0,0,0,7,0,2,0,1,7,24.0,151,0.0662251655629139,0.15894039735099338,624,0,0,1
java/stack-trace-exposure,120,0,0,0,0,0,0,0,0,7,0,2,0,1,7,24.0,151,0.0662251655629139,0.15894039735099338,625,0,0,1
java/stack-trace-exposure,126,0,0,0,0,0,0,0,0,7,0,2,0,1,7,24.0,151,0.0662251655629139,0.15894039735099338,622,0,0,1
java/stack-trace-exposure,132,0,0,0,0,0,0,0,0,7,0,2,0,1,7,24.0,151,0.0662251655629139,0.15894039735099338,617,0,0,1
java/stack-trace-exposure,138,0,0,0,0,0,0,0,0,7,0,2,0,1,7,24.0,151,0.0662251655629139,0.15894039735099338,633,0,0,1
java/stack-trace-exposure,144,0,0,0,0,0,0,0,0,7,0,2,0,1,7,24.0,151,0.0662251655629139,0.15894039735099338,553,0,0,1
java/stack-trace-exposure,118,0,0,0,0,0,0,0,0,1,0,2,0,1,1,6.0,122,0.0327868852459016,0.04918032786885246,376,0,0,1
java/stack-trace-exposure,109,0,0,0,0,0,0,0,0,7,0,2,0,0,7,23.0,152,0.0592105263157894,0.1513157894736842,627,0,0,1
java/stack-trace-exposure,115,0,0,0,0,0,0,0,0,7,0,2,0,0,7,23.0,152,0.0592105263157894,0.1513157894736842,624,0,0,1
java/stack-trace-exposure,121,0,0,0,0,0,0,0,0,7,0,2,0,0,7,23.0,152,0.0592105263157894,0.1513157894736842,625,0,0,1
java/stack-trace-exposure,127,0,0,0,0,0,0,0,0,7,0,2,0,0,7,23.0,152,0.0592105263157894,0.1513157894736842,622,0,0,1
java/stack-trace-exposure,133,0,0,0,0,0,0,0,0,7,0,2,0,0,7,23.0,152,0.0592105263157894,0.1513157894736842,617,0,0,1
java/stack-trace-exposure,139,0,0,0,0,0,0,0,0,7,0,2,0,0,7,23.0,152,0.0592105263157894,0.1513157894736842,633,0,0,1
java/stack-trace-exposure,145,0,0,0,0,0,0,0,0,7,0,2,0,0,7,23.0,152,0.0592105263157894,0.1513157894736842,553,0,0,1
java/stack-trace-exposure,136,0,0,0,0,0,0,0,0,6,0,2,0,0,6,20.0,173,0.0462427745664739,0.11560693641618497,625,0,0,1
java/stack-trace-exposure,142,0,0,0,0,0,0,0,0,6,0,2,0,0,6,20.0,173,0.0462427745664739,0.11560693641618497,625,0,0,1
java/stack-trace-exposure,148,0,0,0,0,0,0,0,0,6,0,2,0,0,6,20.0,173,0.0462427745664739,0.11560693641618497,622,0,0,1
java/stack-trace-exposure,154,0,0,0,0,0,0,0,0,6,0,2,0,0,6,20.0,173,0.0462427745664739,0.11560693641618497,617,0,0,1
java/stack-trace-exposure,160,0,0,0,0,0,0,0,0,6,0,2,0,0,6,20.0,173,0.0462427745664739,0.11560693641618497,633,0,0,1
java/stack-trace-exposure,166,0,0,0,0,0,0,0,0,6,0,2,0,0,6,20.0,173,0.0462427745664739,0.11560693641618497,559,0,0,1
